Step,Gain,Frequency,Q,Hex_Code,Hex_Group1,Hex_Group2,Hex_Group3,Hex_Group4,Hex_Group5,Dec_Group1,Dec_Group2,Dec_Group3,Dec_Group4,Dec_Group5
110,-15.0,64,0.2,0F5FB620E18631400F1A5FA01E79CEC0F185EA40,0F5FB620,E1863140,0F1A5FA0,1E79CEC0,F185EA40,257930784,3783668032,253386656,511299264,4052085312
111,-15.0,65,0.2,0F5E0D90E18A3B800F17FF701E75C480F189F310,0F5E0D90,E18A3B80,0F17FF70,1E75C480,F189F310,257822096,3783932800,253230960,511034496,4052349712
112,-15.0,65,0.2,0F5CA200E18DB1400F15F6901E724EC0F18D6770,0F5CA200,E18DB140,0F15F690,1E724EC0,F18D6770,257729024,3784159552,253097616,510807744,4052576112
113,-15.0,66,0.2,0F5ABDC0E1924D000F1340E01E6DB300F1920160,0F5ABDC0,E1924D00,0F1340E0,1E6DB300,F1920160,257605056,3784461568,252920032,510505728,4052877664
114,-15.0,67,0.2,0F591680E19654200F10E2901E69ABE0F1960700,0F591680,E1965420,0F10E290,1E69ABE0,F1960700,257496704,3784725536,252764816,510241760,4053141248
115,-15.0,67,0.2,0F576FB0E19A5A200F0E84D01E65A5E0F19A0B80,0F576FB0,E19A5A20,0F0E84D0,1E65A5E0,F19A0B80,257388464,3784989216,252609744,509978080,4053404544
116,-15.0,68,0.2,0F55C950E19E5F400F0C27C01E61A0C0F19E0EF0,0F55C950,E19E5F40,0F0C27C0,1E61A0C0,F19E0EF0,257280336,3785252672,252454848,509714624,4053667568
117,-15.0,69,0.2,0F542360E1A263400F09CB401E5D9CC0F1A21160,0F542360,E1A26340,0F09CB40,1E5D9CC0,F1A21160,257172320,3785515840,252300096,509451456,4053930336
118,-15.0,70,0.2,0F5241B0E1A6F8C00F0719401E590740F1A6A510,0F5241B0,E1A6F8C0,0F071940,1E590740,F1A6A510,257049008,3785816256,252123456,509151040,4054230288
119,-15.0,70,0.2,0F509CB0E1AAFAA00F04BE201E550560F1AAA530,0F509CB0,E1AAFAA0,0F04BE20,1E550560,F1AAA530,256941232,3786078880,251969056,508888416,4054492464
120,-15.0,71,0.2,0F4EBC10E1AF8DA00F020D901E507260F1AF3650,0F4EBC10,E1AF8DA0,0F020D90,1E507260,F1AF3650,256818192,3786378656,251792784,508588640,4054791760
121,-15.0,72,0.2,0F4CDC00E1B41F400EFF5DE01E4BE0C0F1B3C620,0F4CDC00,E1B41F40,0EFF5DE0,1E4BE0C0,F1B3C620,256695296,3786678080,251616736,508289216,4055090720
122,-15.0,73,0.2,0F4B3870E1B81DA00EFD04D01E47E260F1B7C2C0,0F4B3870,E1B81DA0,0EFD04D0,1E47E260,F1B7C2C0,256587888,3786939808,251462864,508027488,4055352000
123,-15.0,73,0.2,0F495970E1BCACC00EFA56901E435340F1BC4FF0,0F495970,E1BCACC0,0EFA5690,1E435340,F1BC4FF0,256465264,3787238592,251287184,507728704,4055650288
124,-15.0,74,0.2,0F477B00E1C13A800EF7A9301E3EC580F1C0DBD0,0F477B00,E1C13A80,0EF7A930,1E3EC580,F1C0DBD0,256342784,3787537024,251111728,507430272,4055948240
125,-15.0,75,0.2,0F459D20E1C5C7000EF4FCA01E3A3900F1C56640,0F459D20,E1C5C700,0EF4FCA0,1E3A3900,F1C56640,256220448,3787835136,250936480,507132160,4056245824
126,-15.0,76,0.2,0F43BFD0E1CA52200EF250D01E35ADE0F1C9EF60,0F43BFD0,E1CA5220,0EF250D0,1E35ADE0,F1C9EF60,256098256,3788132896,250761424,506834400,4056543072
127,-15.0,77,0.2,0F41E310E1CEDBE00EEFA5D01E312420F1CE7710,0F41E310,E1CEDBE0,0EEFA5D0,1E312420,F1CE7710,255976208,3788430304,250586576,506536992,4056839952
128,-15.0,78,0.2,0F3FCB70E1D3F5400EECA6701E2C0AC0F1D38E20,0F3FCB70,E1D3F540,0EECA670,1E2C0AC0,F1D38E20,255839088,3788764480,250390128,506202816,4057173536
129,-15.0,78,0.2,0F3DEFD0E1D87C200EE9FD301E2783E0F1D81300,0F3DEFD0,E1D87C20,0EE9FD30,1E2783E0,F1D81300,255717328,3789061152,250215728,505906144,4057469696
130,-15.0,79,0.2,0F3C14D0E1DD01C00EE754B01E22FE40F1DC9680,0F3C14D0,E1DD01C0,0EE754B0,1E22FE40,F1DC9680,255595728,3789357504,250041520,505609792,4057765504
131,-15.0,80,0.2,0F39FF20E1E216600EE458101E1DE9A0F1E1A8D0,0F39FF20,E1E21660,0EE45810,1E1DE9A0,F1E1A8D0,255459104,3789690464,249845776,505276832,4058097872
132,-15.0,81,0.2,0F382550E1E699200EE1B1401E1966E0F1E62970,0F382550,E1E69920,0EE1B140,1E1966E0,F1E62970,255337808,3789986080,249672000,504981216,4058392944
133,-15.0,82,0.2,0F3610E0E1EBAAA00EDEB6901E145560F1EB3880,0F3610E0,E1EBAAA0,0EDEB690,1E145560,F1EB3880,255201504,3790318240,249476752,504649056,4058724480
134,-15.0,83,0.2,0F33FD30E1F0BA800EDBBCE01E0F4580F1F045F0,0F33FD30,E1F0BA80,0EDBBCE0,1E0F4580,F1F045F0,255065392,3790649984,249281760,504317312,4059055600
135,-15.0,84,0.2,0F31EA30E1F5C8A00ED8C4301E0A3760F1F551A0,0F31EA30,E1F5C8A0,0ED8C430,1E0A3760,F1F551A0,254929456,3790981280,249087024,503986016,4059386272
